,TIEU DE,DETECT
56,Ti?n s? c?u lông không ??t: C?m cân n?y m?c hóa ra trò ?ùa!,1
57,B?nh án tâm th?n dùng vào vi?c gì?,1
58,"B?o hi?m xe máy: Mua b?t bu?c, ?òi 'b?t l?c'",1
59,Cháy túi v?i th?c ph?m ch?c n?ng '?ính kèm' toa thu?c,1
60,B?t ?áy' ch?ng khoán lúc nào có l?i nh?t?,1
61,"Ti?n h?c thêm g?p ?ôi h?c phí: Kho?n nào ti?n ?úng, kho?n gì ti?n sai?",1
62,Công ty TNHH m?t thành viên... m?t c?c,1
63,M?y ông c? th?y 's? ??p' là khoái,1
64,"Ch? t?ch hoa h?u 't?t huy?t áp""",1
65,??ng ??u xe ? ?ây,1
66,Th?i c?a c?c g?ch,1
67,10 hi?n k? vui ?? b?o ??m an toàn PCCC cho quán karaoke,1
68,Cây x?ng hên xui,1
69,?n' trên... h?m c?u,1
70,H?t x?ng còn... R?u,1
71,Bác b?o v? giúp cháu v?i,1
72,Chuyên gia tài chính gi?i h?n c? th?n ?èn,1
73,"Quan ?n ??t, không quen ?n... ?á",1
74,Hai ông 'b?y' ??ng nhau trên ???ng ph?,1
75,Ú òa Halloween 2022,1
76,"Tu?i Tr? C??i s? ra 1-11-2022: Hoa h?u và X?ng - bên nào tr?ng, bên nào khinh?",1
77,"Hóa trang Halloween: ?n ?áng s?, h?c c?ng ?áng s?",1
78,??i ca Elon Musk và 'trò ch?i' Twitter,1
79,??i t??ng c?c k? 'nh?y c?m' v?i giá mì gói,1
80,Elon Musk 'h?i sinh' tài kho?n Twitter c?a c?u t?ng th?ng Donald Trump?,1
81,Cosplay ?áng s? nh?t Halloween 2022,1
82,"Tu?i th? ph?i d?y s?m ?i h?c, l?n lên s? ng? bù, làm gì c?ng!",1
83,Ông có bi?t ?ang mùa Halloween không?,1
84,V? mua x?ng cho ch?ng ?i làm,1
85,B? t? là tr??ng ban ??i di?n cha m? h?c sinh,1
86,Mua x?ng lúc ?i ch?i và lúc ?i làm,1
87,Th?c ph?m b?n nh?n nh? do quy trình ki?m tra 't? ta l?y ?á ghè chân',1
88,Dân ch?i c? phi?u ?? m?t dù không bia r??u,1
89,Cò ??t c?ng ?n kiêng?,1
90,Phát tài' nh? mùa ng?p,1
91,B?o hi?m xe máy: Ti?n nh?ng không l?i,1
92,Mua x?ng theo ??n v?... Gi?t,1
93,N?i khi?p s? th?c s? c?a t?i con nít,1
94,Dân ch?i 'ch?ng' n?m 2022,1
95,Nhi?u t?nh ?? xu?t xây sân bay: Gi?i quy?t 'khâu oai' tr??c ?ã,1
96,N?i kh? c?a 'b? h?c sinh',1
97,Khi shipper g?p c?nh 'h?t x?ng còn d?u',1
98,Rút c?n 't?m lòng' cho ngày 20-10,1
99,3 ??a con mang tên nh?ng loài hoa,1
100,Mua x?ng 3 l?n '??y bình',1
101,H?c sinh ?i h?c s?m b?ng xe 'gi??ng n?m',1
102,Rau s?ch x?n giá... to ?ùng,1
,,
103,"Phát hi?n 5 kho, x??ng s?n xu?t d?u g?i gi? c?c l?n ? TPHCM",0
104,"Cháy l?n t?i nhà dân ? H?ng Yên, 2 ng??i t? vong",0
105,Nhi?u quán karaoke ? Bình Th?nh b? ?ình ch? do vi ph?m PCCC,0
106,"B?t k? mua bé gái 13 tu?i v? ph?c v? quán karaoke, yêu c?u khai gian tu?i",0
107,"S?p giàn ?èn sân kh?u trong ch??ng trình ca nh?c, nhi?u ng??i b? th??ng",0
108,"Xem xét l?i quy ??nh ""giá t?i ?a d?ch v? khám b?nh, ch?a b?nh"" ",0
109,Qu?n Gò V?p: Ti?p nh?n ch?a b?nh qua th? CCCD cho h?n 19.000 b?nh nhân ,0
110,T?ng c??ng k?t n?i ?? hàng hóa c?a Lào vào th? tr??ng TPHCM ,0
111,B? Công an tri?n khai Lu?t B?o v? môi tr??ng n?m 2020 ,0
112,Công an TPHCM g?p m?t nhân k? ni?m 78 n?m thành l?p Q?ND Vi?t Nam ,0
113,Nh?n di?n các thách th?c ??i v?i s? phát tri?n c?a du l?ch ?ông Nam Á sau ??i d?ch,0
114,Bãi b? 30 v?n b?n quy ph?m pháp lu?t c?a Th? t??ng Chính ph?,0
115,"Giá x?ng d?u gi?m m?nh, x?ng RON 95-III còn 21.200 ??ng/lít",0
116,Vi?t Nam ??i di?n h?n 40 qu?c gia phát bi?u t?i Phiên h?p ??i h?i ??ng LHQ k? ni?m 40 n?m UNCLOS,0
117,??i tá Nguy?n Thành L?i làm Phó Ban chuyên trách Ban ATGT TPHCM,0
118,Th? t??ng lên ???ng d? H?i ngh? c?p cao k? ni?m 45 n?m quan h? ASEAN-EU,0
119,"Công an TPHCM t?ng c??ng tu?n tra khép kín, ki?m soát t?t tình hình ANTT",0
120,Trong n?m 2023 TPHCM s? khánh thành tuy?n metro B?n Thành - Su?i Tiên,0
121,Nghiên c?u xây d?ng h? th?ng ???ng s?t k?t n?i Vùng ?ô th? TPHCM,0
122,TPHCM: X? lý nghiêm tình tr?ng gây phi?n hà cho dân và doanh nghi?p,0
123,"N?m 2022, l?c l??ng CAND ?ã hoàn thành xu?t s?c nhi?m v? trên các m?t công tác",0
124,"Nhi?u d? án, công trình quan tr?ng ???c H?ND TPHCM xem xét, cho ý ki?n",0
125,Khai m?c H?i ngh? ??ng ?y Công an Trung ??ng n?m 2022,0
126,"??n n?m 2030, GDP bình quân ??u ng??i ??t kho?ng 7.500 USD",0
127,"Quy?t tâm cao xây d?ng ??i ng? cán b? ?? ph?m ch?t, n?ng l?c, uy tín",0
128,"Th?c hi?n chuy?n ??i s? toàn di?n, th?c ch?t, hi?u qu?, b?n v?ng",0
129,Khánh thành C?ng Vi?t Nam t?i Maroc: D?u ?n c?a tình h?u ngh?,0
130,Xe khách tông xe máy khi?n 2 v? ch?ng th? h? t? vong th??ng tâm,0
131,"Ki?m soát quy?n l?c là ng?n ch?n tham nh?ng, tiêu c?c",0
132,"Ch? t?ch n??c ti?p m?t s? t? ch?c h?u ngh?, h?p tác kinh t?, v?n hóa Hàn-Vi?t",0
133,T?ng c??ng ph?i h?p l?p tr??ng chung c?a ASEAN t?i Liên h?p qu?c,0
134,Khánh thành T??ng ?ài Ch? t?ch H? Chí Minh trong khuôn viên tr? s? B? Công an t?i TPHCM,0
135,"Ch? ??o, ?i?u hành n?i b?t c?a B? Công an trong tu?n t? 27/11 – 02/12",0
136,"B? tr??ng Tô Lâm th?m, chúc m?ng ??c Pháp ch? Giáo h?i Ph?t giáo Vi?t Nam",0
137,Ch? t?ch n??c Nguy?n Xuân Phúc lên ???ng th?m c?p Nhà n??c t?i Hàn Qu?c,0
138,Khai m?c s? ki?n “??i tho?i H?u ngh? TPHCM l?n th? nh?t n?m 2022”,0
139,"S? xem xét x? lý hình s? các vi ph?m trong qu?n lý, s? d?ng kinh phí b?o trì chung c?",0
140,B? nhi?m bà Lê Th? Thu H?ng và ông ?? Vi?t Hùng làm Th? tr??ng B? Ngo?i giao,0
141,"Th?ng ??c NHNN s? quy ??nh tiêu chí, ph??ng pháp ?ánh giá r?i ro v? r?a ti?n",0
142,"D? ki?n s?a ??i 19 ngh? ??nh có quy ??nh v? xu?t trình s? h? kh?u, s? t?m trú",0
143,"Doanh nghi?p tr?n ?óng, chi?m d?ng, n? ti?n BHXH g?n 14.600 t? ??ng",0
144,"Xây d?ng c? ch?, chính sách thu hút, tuy?n d?ng nhân tài vào làm vi?c trong h? th?ng chính tr?",0
145,Ch? t?ch n??c ??n d? và chúc m?ng ??i h?i ??i bi?u Ph?t giáo toàn qu?c,0
146,Th? t??ng: X? lý d?t ?i?m nh?ng v??ng m?c cho các d? án tr?ng ?i?m t?i TPHCM,0
147,"T? ngày 12/12 h? nghèo, c?n nghèo ???c h? tr? ?i?n tho?i thông minh",0
148,"Ch? ??o, ?i?u hành n?i b?t c?a B? Công an trong tu?n t? 21-26/11",0
149,Th? t??ng yêu c?u tháo g? ngay nh?ng khó kh?n cho cao t?c B?n L?c - Long Thành,0
150,B? Công an hai n??c Vi?t Nam - Lào 60 n?m h?p tác và phát tri?n,0
151,"Nâng cao k? n?ng tuyên truy?n v? chính sách phát lu?t cho PV, BTV báo chí",0
152,"Cùng nhau ti?n b? vì m?t ASEAN t? c??ng, bao trùm và b?n v?ng",0
153,Sai ph?m liên quan ??n T?p ?oàn V?n Th?nh Phát ??c bi?t nghiêm tr?ng,0
154,Metro B?n Thành - Su?i Tiên: N? l?c hoàn thành vì thành ph? thân yêu,0
155,"Xe t?i l?t ngang trên cao t?c TPHCM - Trung L??ng, k?t xe h?n 4km",0
156,"?ang ch?t hàng thì tàu l?t nghiêng, hàng ch?c t?n hàng hóa r?i xu?ng bi?n",0
157,Công an qu?n 12 ra quân x? lý vi ph?m v? kinh doanh v?n t?i hành khách,0
158,"Xe máy v?ng xu?ng m??ng, 3 cô gái th??ng vong",0
159,Nhi?u tín hi?u tích c?c t? ???ng bay th?ng Vi?t - M?,0
160,"V? phá r?ng ? Kon Tum: Ki?m ?i?m, x? lý trách nhi?m các t?p th?, cá nhân",0
161,"?ng d?ng chuy?n ??i s? trong công tác phòng, ch?ng hàng gi?",0
162,B?t thêm T?ng giám ??c công ty du l?ch liên quan 'chuy?n bay gi?i c?u',0
163,Cà Mau: Truy t? 5 b? can gây th?t thoát h?n 28 t? ??ng,0
164,"Lô thu?c lá l?u kho?ng 10,5 t? ??ng ng?y trang trong thùng container",0
165,Tìm 2 ???ng s? liên quan v? v?n chuy?n 463 chi?c ?TDD Iphone qua sân bay,0
166,B? Công an kh?i t? thêm 7 b? can liên quan chuy?n bay 'gi?i c?u',0
167,"Phát hi?n 5 kho, x??ng s?n xu?t d?u g?i gi? c?c l?n ? TPHCM",0
168,Trong m?t tu?n Công an b?t 2 xe ??u kéo ch? hàng l?u c?a cùng 1 công ty,0
169,"Huy?n C?n Gi?: Quy ??nh b?t c?p ""cùm chân"" ngh? nuôi y?n",0
170,3 tr? lý c?a Nguy?n Ph??ng H?ng b??c ??u khai gì?,0
171,Nguyên Giám ??c B?nh vi?n m?t TPHCM b? tuyên án 7 n?m tù,0
172,V? án Công ty Vi?t Á: B?t giam Tr? lý Phó Th? t??ng Chính ph?,0
173,T?p ?oàn ?i?n l?c Vi?t Nam d? ki?n l? h?n 31.300 t? ??ng trong n?m 2022,0
174,Nguyên Giám ??c B?nh vi?n m?t TPHCM can thi?p gói th?u nh? th? nào?,0
175,"L?p kh?ng h? s?, l?a ??o chi?m ?o?t h?n 300 tri?u ??ng ti?n ngân sách",0
176,Liên ti?p b?t gi? hai v? tàng tr? và v?n chuy?n g?n 700 kg pháo l?u,0
177,K?t lu?n các sai ph?m và k? lu?t lãnh ??o CDC t?nh Qu?ng Tr?,0
178,Mang co?ng ngh?? thanh toa?n hi??n ?a?i ?ê?n v??i ngu???i tie?u du?ng trong nu???c,0
179,TPHCM: ??n giá b?i th??ng t?m tính ??i v?i d? án ???ng Vành ?ai 3,0
180,"Truy t? c?u Ch? t?ch AIC và c?u Bí th?, Ch? t?ch t?nh ??ng Nai",0
181,V? nh?p h?n 1.280 container máy móc c?: Truy t? 26 b? can v? t?i buôn l?u,0
182,?? ngh? lùi th?i gian hoàn thành cao t?c B?n L?c-Long Thành ??n 9/2025,0
183,Toà tuyên c?u Th? tr??ng B? Y t? Cao Minh Quang lãnh án treo,0
184,"Nhi?u th? ?o?n v?n chuy?n, c?t gi?u pháo tinh vi",0
185,Phát hi?n 2 xe t?i ch? ??y hàng hoá không rõ ngu?n g?c,0
186,V? tu?n h?n 500 t?n h?t ?i?u nh?p kh?u ra th? tr??ng: Kh?i t? thêm 2 b? can,0
187,Phát hi?n 36.000 gói xúc xích cho tr? em và 7.000 gói bánh nh?p l?u,0
188,Nh?ng chiêu trò ‘làm xi?c’ trong bán ??u giá tài s?n thi hành án,0
189,Phát hi?n xe t?i v?n chuy?n s? l??ng l?n g? tr?c không rõ ngu?n g?c,0
190,"Bà trùm buôn l?u vàng, ?ô la M??i T??ng b? tuyên y án 8 n?m tù",0
191,B?t giam nguyên k? toán tr??ng cùng 2 cán b? CDC Bình Ph??c,0
192,"Buôn bán ??ng v?t quý hi?m trên m?ng ""?o"", ?i tù th?t",0
193,TPHCM: Có tình tr?ng các th??ng nhân không ch? ??ng nh?p x?ng d?u,0
194,V? án t?i Thuduc House: Kh?i t? Phó C?c tr??ng C?c Thu? TPHCM,0
195,Phó chánh án TAND t?nh B?c Liêu b? b?t qu? tang nh?n h?i l? t?i nhà ngh?,0
196,Nguy?n Th? Thanh Nhàn h?i l? cho c?u Bí th? và Ch? t?ch ??ng Nai 28 t? ??ng,0
197,Kh?i t? Giám ??c TTYT ‘hô bi?n’ m?u xét nghi?m ??n thành g?p ?? tr?c l?i,0
198,"TPHCM: ?? ngh? truy t? 3 b? can s?n xu?t, buôn bán ?ng nh?a gi?",0
199,Sau ph?n ánh c?a báo chí v? n?n '??t t?c': ?ình ch? ch? t?ch và phó ch? t?ch xã,0
200,Làm rõ nhi?u th? ?o?n m?i c?a t?i ph?m trong l?nh v?c ch?ng khoán,0
201,"TPHCM: Phát hi?n lô hàng gi? các th??ng hi?u Louis Vuitton, Gucci, Dior",0
202,Vi?n ki?m sát kháng ngh? cách tính thi?t h?i trong v? án ông T?t Thành Cang,0
203,"EU h? tr? thêm 18 t? euro cho Ukraine, ti?p t?c tr?ng ph?t ??i v?i Nga ",0
204,Quân ??i ?n ?? và Trung Qu?c ??ng ?? ? biên gi?i,0
